序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2122,688727,恒坤新材,59.12,-4.83,-3.0,50672.0,303609761.0,5.65,62.39,58.88,62.39,62.12,1.26,10.09,269.57,10.72,26563774752.0,2970375915.0,-0.45,-0.05,294.4,23.76
2123,688513,苑东生物,55.75,-4.83,-2.83,11971.0,67114132.0,5.68,58.3,54.97,57.99,58.58,3.41,0.68,33.53,3.43,9841673272.0,9841673272.0,0.02,-0.07,4.52,-9.42
2124,688543,国科军工,69.02,-4.84,-3.51,68645.0,477808685.0,4.49,71.77,68.51,71.7,72.53,1.33,5.92,75.62,6.28,14414276773.0,8003699173.0,-0.4,-0.17,28.22,11.2
2125,688429,时创能源,14.75,-4.84,-0.75,48705.0,72685188.0,5.61,15.49,14.62,15.36,15.5,2.77,4.06,-17.39,4.09,5900011800.0,1767452188.0,0.0,-0.47,-7.87,12.68
2126,603703,盛洋科技,15.49,-4.85,-0.79,255197.0,406603477.0,9.46,16.97,15.43,16.87,16.28,1.6,6.15,675.72,7.77,6428073039.0,6428073039.0,-0.26,-0.13,20.54,6.24
2127,688733,壹石通,30.73,-4.86,-1.57,54279.0,169538080.0,6.38,32.69,30.63,32.4,32.3,1.5,2.72,-333.04,2.83,6139091589.0,6139091589.0,-0.29,-0.29,10.3,6.04
2128,688062,迈威生物-U,38.34,-4.86,-1.96,74790.0,290699659.0,5.01,40.3,38.28,40.0,40.3,2.18,3.66,-19.23,20.13,15320664000.0,7827877800.0,-0.18,0.1,-9.3,-0.34
2129,600257,大湖股份,7.25,-4.86,-0.37,267783.0,195893466.0,6.43,7.62,7.13,7.5,7.62,1.48,5.56,-4626.6,4.38,3488969613.0,3488969613.0,-0.14,0.0,29.7,15.45
2130,688598,金博股份,30.53,-4.86,-1.56,73313.0,226766078.0,7.42,32.7,30.32,32.7,32.09,1.75,3.6,-17.25,1.26,6337207231.0,6215163556.0,-0.13,-0.03,-1.17,3.99
2131,688536,思瑞浦,183.81,-4.87,-9.4,35606.0,663275559.0,6.0,193.92,182.33,193.22,193.21,1.14,2.69,150.86,4.37,25347093692.0,24373471422.0,-0.1,-0.14,7.37,14.97
2132,603688,石英股份,40.03,-4.87,-2.05,174381.0,701227558.0,6.13,41.98,39.4,41.98,42.08,2.69,3.22,120.33,3.74,21683381909.0,21683381909.0,-0.02,0.02,-4.87,9.43
2133,603778,国晟科技,17.69,-4.89,-0.91,797137.0,1471346643.0,12.63,19.51,17.16,19.19,18.6,2.48,12.4,-57.68,15.97,11615999103.0,11372142842.0,0.23,0.51,276.38,0.51
2134,603903,中持股份,12.61,-4.9,-0.65,79420.0,101119040.0,3.92,13.02,12.5,13.01,13.26,1.45,3.11,50.73,2.06,3219578643.0,3219578643.0,-0.08,-0.08,-7.42,-13.33
2135,603011,合锻智能,25.59,-4.91,-1.32,300275.0,778911158.0,4.35,26.57,25.4,26.47,26.91,1.31,6.07,-214.07,6.02,12652065443.0,12652065443.0,-0.04,0.04,3.44,7.93
2136,688051,佳华科技,37.18,-4.91,-1.92,17024.0,63605135.0,6.06,39.06,36.69,39.06,39.1,3.08,2.2,-32.07,4.41,2875278120.0,2875278120.0,-0.27,-0.27,-30.28,-6.13
2137,600501,航天晨光,27.89,-4.91,-1.44,219014.0,611116244.0,5.56,29.01,27.38,29.0,29.33,1.5,5.12,-79.06,6.92,11932016938.0,11932016938.0,0.0,0.11,24.62,-7.43
2138,688631,莱斯信息,72.03,-4.92,-3.73,25218.0,184899121.0,4.62,75.4,71.9,75.4,75.76,1.49,3.89,-177.15,6.5,11774744100.0,4672586100.0,0.04,-0.22,-6.16,5.8
2139,603869,ST智知,9.98,-4.95,-0.52,42147.0,42422533.0,4.76,10.48,9.98,10.43,10.5,7.33,0.85,100.07,1.32,4931283548.0,4931283548.0,0.0,0.0,-1.29,-5.76
2140,688039,当虹科技,56.25,-4.95,-2.93,54526.0,309314797.0,7.4,59.46,55.08,58.8,59.18,2.38,4.93,-215.59,5.6,6221330100.0,6221330100.0,-0.09,0.27,12.61,25.7
2141,603239,浙江仙通,24.9,-4.96,-1.3,89396.0,225205840.0,5.61,26.02,24.55,25.94,26.2,1.08,3.3,33.33,5.37,6740928000.0,6740928000.0,0.08,-0.04,29.62,21.4
2142,688651,盛邦安全,52.18,-4.97,-2.73,21004.0,112116031.0,6.65,55.75,52.1,55.75,54.91,1.23,6.47,-54.58,4.24,3934319820.0,1693471949.0,-0.61,-0.17,28.9,18.54
2143,688772,珠海冠宇,20.65,-4.97,-1.08,200097.0,419733066.0,6.4,21.9,20.51,21.78,21.73,2.13,1.77,45.32,3.28,23377221773.0,23377221773.0,-0.19,-0.05,-27.77,-4.09
2144,603108,润达医疗,16.83,-5.02,-0.89,255982.0,439186621.0,5.47,17.77,16.8,17.74,17.72,1.45,4.24,-46.84,2.46,10159963970.0,10159963970.0,-0.3,-0.06,6.25,12.58
